filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC02070.heif,0.432438,0.712082,2.428862,-1,1,raw=2.429 < min_raw=3.100 (cut penalty applied? False),1,81
DSC02072.heif,0.466020,0.632984,2.281490,-1,1,raw=2.281 < min_raw=3.100 (cut penalty applied? False),1,81
DSC02084.heif,0.439765,0.842068,2.164818,-1,1,raw=2.165 < min_raw=3.100 (cut penalty applied? True),2,82
DSC02085.heif,0.591735,0.947126,3.255419,1,0,,1,82
DSC02087.heif,0.401739,0.796671,2.594285,-1,1,raw=2.594 < min_raw=3.100 (cut penalty applied? False),2,82
DSC02110.heif,0.236571,0.862857,1.911998,-1,1,raw=1.912 < min_raw=3.100 (cut penalty applied? True),1,82
DSC02111.heif,0.538513,0.879692,3.007001,-1,1,raw=3.007 < min_raw=3.100 (cut penalty applied? False),1,82
DSC02112.heif,0.500324,0.866979,2.917932,-1,1,raw=2.918 < min_raw=3.100 (cut penalty applied? False),2,82
DSC02115.heif,0.552725,0.917484,3.122798,1,0,,1,82
DSC02116.heif,0.481309,0.824123,2.782272,-1,1,raw=2.782 < min_raw=3.100 (cut penalty applied? False),2,82
DSC02121.heif,0.375988,0.906241,2.829584,-1,1,raw=2.830 < min_raw=3.100 (cut penalty applied? False),1,82
DSC02122.heif,0.548777,0.798838,2.820262,-1,1,raw=2.820 < min_raw=3.100 (cut penalty applied? False),1,82
DSC02123.heif,0.402585,0.880538,2.805222,-1,1,raw=2.805 < min_raw=3.100 (cut penalty applied? False),1,82
DSC02131.heif,0.776849,0.579514,2.614059,-1,1,raw=2.614 < min_raw=3.100 (cut penalty applied? False),1,83
DSC02134.heif,0.306486,0.664518,2.121025,-1,1,raw=2.121 < min_raw=3.100 (cut penalty applied? False),1,83
DSC02135.heif,0.268005,0.876116,2.592298,-1,1,raw=2.592 < min_raw=3.100 (cut penalty applied? False),1,83
DSC02136.heif,0.437442,0.932939,2.988511,-1,1,raw=2.989 < min_raw=3.100 (cut penalty applied? False),1,83
DSC02137.heif,0.240330,0.644451,1.971624,-1,1,raw=1.972 < min_raw=3.100 (cut penalty applied? False),1,83
DSC02140.heif,0.551667,0.894848,3.064619,-1,1,raw=3.065 < min_raw=3.100 (cut penalty applied? False),2,83
DSC02141.heif,0.898363,0.748191,3.218023,1,0,,1,83
DSC02142.heif,0.512736,0.617734,2.313438,-1,1,raw=2.313 < min_raw=3.100 (cut penalty applied? False),1,83
DSC02145.heif,0.423691,0.956427,3.026605,-1,1,raw=3.027 < min_raw=3.100 (cut penalty applied? False),2,83
DSC02146.heif,0.636883,0.777964,2.900235,-1,1,raw=2.900 < min_raw=3.100 (cut penalty applied? False),1,83
DSC02147.heif,0.853504,0.768616,3.201796,1,0,,1,83
DSC02148.heif,0.136682,0.462808,0.762042,-1,1,raw=0.762 < min_raw=3.100 (cut penalty applied? True),14,84
DSC02163.heif,0.751996,0.893326,3.361309,1,0,,1,84
DSC02164.heif,0.576760,0.937649,3.209264,1,0,,1,84
DSC02165.heif,0.235866,0.676032,2.043879,-1,1,raw=2.044 < min_raw=3.100 (cut penalty applied? False),2,84
DSC02169.heif,0.579750,0.822649,2.926249,-1,1,raw=2.926 < min_raw=3.100 (cut penalty applied? False),1,85
DSC02170.heif,0.797981,0.777278,3.140167,1,0,,1,85
DSC02171.heif,0.676533,0.651661,2.643953,-1,1,raw=2.644 < min_raw=3.100 (cut penalty applied? False),1,85
DSC02172.heif,0.375779,0.649053,2.186300,-1,1,raw=2.186 < min_raw=3.100 (cut penalty applied? False),1,85
DSC02181.heif,0.264759,0.850479,2.523336,-1,1,raw=2.523 < min_raw=3.100 (cut penalty applied? False),1,85
DSC02182.heif,0.661625,0.835579,3.081384,-1,1,raw=3.081 < min_raw=3.100 (cut penalty applied? False),1,85
DSC02183.heif,0.425136,0.823032,2.695284,-1,1,raw=2.695 < min_raw=3.100 (cut penalty applied? False),1,85
DSC02193.heif,1.000000,0.794040,3.485100,2,0,,2,85
DSC02194.heif,0.727660,0.676176,2.781929,-1,1,raw=2.782 < min_raw=3.100 (cut penalty applied? False),2,85
DSC02195.heif,0.823614,0.732109,3.065695,-1,1,raw=3.066 < min_raw=3.100 (cut penalty applied? False),1,85
DSC02197.heif,0.954464,0.800936,3.434037,2,0,,2,86
DSC02198.heif,1.000000,0.706785,3.266963,1,0,,1,86
DSC02199.heif,0.692167,0.836056,3.128389,1,0,,1,86
DSC02200.heif,1.000000,0.944682,3.861706,3,0,,1,86
DSC02201.heif,1.000000,0.893928,3.734820,2,0,,1,86
DSC02202.heif,0.743805,0.669554,2.789594,-1,1,raw=2.790 < min_raw=3.100 (cut penalty applied? False),3,86
DSC02203.heif,0.737775,0.731934,2.936498,-1,1,raw=2.936 < min_raw=3.100 (cut penalty applied? False),2,86
DSC02204.heif,0.667398,0.668511,2.672374,-1,1,raw=2.672 < min_raw=3.100 (cut penalty applied? False),1,86
DSC02206.heif,0.621102,0.932110,3.261927,1,0,,1,86
DSC02207.heif,0.657615,0.755321,2.874724,-1,1,raw=2.875 < min_raw=3.100 (cut penalty applied? False),1,86
DSC02208.heif,0.586340,0.805421,2.893062,-1,1,raw=2.893 < min_raw=3.100 (cut penalty applied? False),2,86
DSC02209.heif,0.573090,0.888143,3.079993,-1,1,raw=3.080 < min_raw=3.100 (cut penalty applied? False),1,86
DSC02210.heif,0.389746,0.940356,2.935510,-1,1,raw=2.936 < min_raw=3.100 (cut penalty applied? False),2,86
DSC02212.heif,0.647000,0.799662,2.969656,-1,1,raw=2.970 < min_raw=3.100 (cut penalty applied? False),1,87
DSC02219.heif,0.838430,0.729623,2.481702,-1,1,raw=2.482 < min_raw=3.100 (cut penalty applied? True),1,88
DSC02228.heif,0.732103,0.843546,2.607021,-1,1,raw=2.607 < min_raw=3.100 (cut penalty applied? True),1,88
DSC02234.heif,1.000000,0.832017,3.580042,2,0,,1,89
DSC02235.heif,1.000000,0.898358,3.745895,2,0,,1,89
DSC02236.heif,0.919185,0.808886,3.400991,2,0,,2,89
DSC02237.heif,1.000000,0.870052,3.675129,2,0,,1,89
DSC02238.heif,1.000000,0.914961,3.787402,2,0,,2,89
DSC02239.heif,0.883277,0.719967,3.124834,1,0,,1,89
DSC02240.heif,0.566618,0.836857,2.942070,-1,1,raw=2.942 < min_raw=3.100 (cut penalty applied? False),1,89
DSC02241.heif,0.567193,0.908614,3.122324,1,0,,1,89
DSC02242.heif,0.834334,0.916957,3.543895,2,0,,1,89
DSC02243.heif,0.674682,0.898741,3.258875,1,0,,3,89
DSC02244.heif,0.701774,0.619684,2.601871,-1,1,raw=2.602 < min_raw=3.100 (cut penalty applied? False),2,89
DSC02245.heif,0.692721,0.654877,2.676274,-1,1,raw=2.676 < min_raw=3.100 (cut penalty applied? False),1,89
DSC02247.heif,0.881407,0.816670,2.763785,-1,1,raw=2.764 < min_raw=3.100 (cut penalty applied? True),1,90
DSC02248.heif,1.000000,0.918419,3.796048,2,0,,1,90
DSC02249.heif,1.000000,0.705376,3.263439,1,0,,1,90
DSC02250.heif,1.000000,0.792042,3.480104,2,0,,1,90
DSC02251.heif,1.000000,0.871481,3.678703,2,0,,1,90
DSC02252.heif,1.000000,0.908034,3.770086,2,0,,1,90
DSC02253.heif,1.000000,0.910611,3.776527,2,0,,1,90
DSC02254.heif,0.620323,0.902598,3.186980,1,0,,1,90
DSC02255.heif,0.789383,0.672519,2.865372,-1,1,raw=2.865 < min_raw=3.100 (cut penalty applied? False),1,90
DSC02256.heif,0.693893,0.702443,2.796947,-1,1,raw=2.797 < min_raw=3.100 (cut penalty applied? False),1,90
DSC02257.heif,0.660033,0.750615,2.866589,-1,1,raw=2.867 < min_raw=3.100 (cut penalty applied? False),1,90
DSC02258.heif,0.511158,0.747079,2.634435,-1,1,raw=2.634 < min_raw=3.100 (cut penalty applied? False),3,90
DSC02259.heif,0.327940,0.506182,1.157366,-1,1,raw=1.157 < min_raw=3.100 (cut penalty applied? True),6,90
DSC02267.heif,0.661688,0.749263,2.865691,-1,1,raw=2.866 < min_raw=3.100 (cut penalty applied? False),1,91
DSC02273.heif,0.336308,0.829869,1.979134,-1,1,raw=1.979 < min_raw=3.100 (cut penalty applied? True),1,92
DSC02278.heif,0.513917,0.790170,2.146300,-1,1,raw=2.146 < min_raw=3.100 (cut penalty applied? True),1,93
DSC02283.heif,0.589411,0.612757,2.416010,-1,1,raw=2.416 < min_raw=3.100 (cut penalty applied? False),1,94
DSC02286.heif,0.796596,0.916844,3.487003,2,0,,1,94
DSC02287.heif,0.420278,0.828806,2.702431,-1,1,raw=2.702 < min_raw=3.100 (cut penalty applied? False),1,94
DSC02290.heif,0.245445,0.846691,2.484897,-1,1,raw=2.485 < min_raw=3.100 (cut penalty applied? False),1,94
DSC02291.heif,0.753112,0.939129,3.477490,2,0,,1,94
DSC02292.heif,0.269276,0.723425,2.212476,-1,1,raw=2.212 < min_raw=3.100 (cut penalty applied? False),2,94
DSC02293.heif,0.489752,0.637828,2.329197,-1,1,raw=2.329 < min_raw=3.100 (cut penalty applied? False),1,95
DSC02294.heif,0.635027,0.648642,2.574145,-1,1,raw=2.574 < min_raw=3.100 (cut penalty applied? False),1,95
DSC02296.heif,0.256386,0.793843,2.369186,-1,1,raw=2.369 < min_raw=3.100 (cut penalty applied? False),1,95
DSC02297.heif,0.649985,0.741004,2.827486,-1,1,raw=2.827 < min_raw=3.100 (cut penalty applied? False),1,95
DSC02298.heif,0.221780,0.661634,1.986754,-1,1,raw=1.987 < min_raw=3.100 (cut penalty applied? False),1,95
DSC02300.heif,0.412219,0.667883,2.288037,-1,1,raw=2.288 < min_raw=3.100 (cut penalty applied? False),2,96
DSC02302.heif,0.351564,0.598511,2.023624,-1,1,raw=2.024 < min_raw=3.100 (cut penalty applied? False),2,96
DSC02304.heif,0.354233,0.692655,2.262986,-1,1,raw=2.263 < min_raw=3.100 (cut penalty applied? False),1,96
DSC02306.heif,0.446945,0.662261,2.326071,-1,1,raw=2.326 < min_raw=3.100 (cut penalty applied? False),1,97
DSC02315.heif,0.530341,0.697658,2.539657,-1,1,raw=2.540 < min_raw=3.100 (cut penalty applied? False),1,97
DSC02316.heif,0.441812,0.718154,2.458104,-1,1,raw=2.458 < min_raw=3.100 (cut penalty applied? False),2,97
DSC02317.heif,0.524849,0.594616,2.273813,-1,1,raw=2.274 < min_raw=3.100 (cut penalty applied? False),7,98
DSC02321.heif,0.596386,0.912247,3.175196,1,0,,2,98
DSC02322.heif,0.556676,0.688785,2.556976,-1,1,raw=2.557 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02326.heif,0.469670,0.880213,2.905038,-1,1,raw=2.905 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02327.heif,0.508618,0.854822,2.899981,-1,1,raw=2.900 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02328.heif,0.336298,0.832824,2.586508,-1,1,raw=2.587 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02330.heif,0.853008,0.915291,3.567738,2,0,,1,98
DSC02331.heif,1.000000,0.678838,3.197094,1,0,,1,98
DSC02332.heif,0.802615,0.946895,3.571160,2,0,,1,98
DSC02333.heif,0.530265,0.909306,3.068663,-1,1,raw=3.069 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02336.heif,0.676017,0.757927,2.908842,-1,1,raw=2.909 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02337.heif,0.032310,0.746729,1.315289,-1,1,sharpness=0.032 < threshold=0.050,2,98
DSC02341.heif,0.491598,0.962202,3.142902,1,0,,1,98
DSC02342.heif,0.598942,0.830104,2.973674,-1,1,raw=2.974 < min_raw=3.100 (cut penalty applied? False),2,98
DSC02343.heif,0.552278,0.828688,2.900138,-1,1,raw=2.900 < min_raw=3.100 (cut penalty applied? False),2,98
DSC02346.heif,0.467338,0.867592,2.869987,-1,1,raw=2.870 < min_raw=3.100 (cut penalty applied? False),2,98
DSC02347.heif,0.493617,0.772865,2.672587,-1,1,raw=2.673 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02348.heif,0.312777,0.902470,2.725339,-1,1,raw=2.725 < min_raw=3.100 (cut penalty applied? False),1,98
DSC02362.heif,0.544917,0.581935,2.272212,-1,1,raw=2.272 < min_raw=3.100 (cut penalty applied? False),1,99
DSC02367.heif,0.536692,0.682830,2.512113,-1,1,raw=2.512 < min_raw=3.100 (cut penalty applied? False),2,99
DSC02368.heif,0.201249,0.639768,1.901294,-1,1,raw=1.901 < min_raw=3.100 (cut penalty applied? False),2,99
DSC02371.heif,0.446690,0.897442,2.913640,-1,1,raw=2.914 < min_raw=3.100 (cut penalty applied? False),1,99
DSC02374.heif,0.287094,0.892337,2.661482,-1,1,raw=2.661 < min_raw=3.100 (cut penalty applied? False),1,99
DSC02375.heif,0.345091,0.646715,2.134424,-1,1,raw=2.134 < min_raw=3.100 (cut penalty applied? False),2,99
DSC02391.heif,0.757608,0.767982,3.056367,-1,1,raw=3.056 < min_raw=3.100 (cut penalty applied? False),2,99
DSC02392.heif,0.516550,0.697132,2.517655,-1,1,raw=2.518 < min_raw=3.100 (cut penalty applied? False),2,99
DSC02393.heif,0.659032,0.762799,2.895545,-1,1,raw=2.896 < min_raw=3.100 (cut penalty applied? False),1,99
DSC02394.heif,0.716180,0.786437,3.040363,-1,1,raw=3.040 < min_raw=3.100 (cut penalty applied? False),1,99
DSC02395.heif,0.414482,0.694735,2.358559,-1,1,raw=2.359 < min_raw=3.100 (cut penalty applied? False),3,99
DSC02396.heif,0.579893,0.619887,2.419556,-1,1,raw=2.420 < min_raw=3.100 (cut penalty applied? False),1,100
