filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC03168.heif,0.366880,0.932641,2.881923,-1,1,raw=2.882 < min_raw=3.100 (cut penalty applied? False),1,206
DSC03169.heif,0.301646,0.919240,2.750570,-1,1,raw=2.751 < min_raw=3.100 (cut penalty applied? False),1,206
DSC03170.heif,0.153361,0.826880,2.297241,-1,1,raw=2.297 < min_raw=3.100 (cut penalty applied? False),1,207
DSC03171.heif,0.720349,0.831305,3.158787,1,0,,1,208
DSC03172.heif,0.602061,0.834356,2.988982,-1,1,raw=2.989 < min_raw=3.100 (cut penalty applied? False),1,208
DSC03173.heif,0.263807,0.823779,2.455159,-1,1,raw=2.455 < min_raw=3.100 (cut penalty applied? False),1,209
DSC03174.heif,0.334466,0.951487,2.880417,-1,1,raw=2.880 < min_raw=3.100 (cut penalty applied? False),1,209
DSC03175.heif,0.236451,0.832580,2.436126,-1,1,raw=2.436 < min_raw=3.100 (cut penalty applied? False),1,209
DSC03180.heif,0.900564,0.641717,2.955139,-1,1,raw=2.955 < min_raw=3.100 (cut penalty applied? False),1,209
DSC03182.heif,0.230133,0.818718,2.391996,-1,1,raw=2.392 < min_raw=3.100 (cut penalty applied? False),2,210
DSC03183.heif,0.323006,0.712006,2.264524,-1,1,raw=2.265 < min_raw=3.100 (cut penalty applied? False),1,210
DSC03184.heif,0.372412,0.827100,2.626369,-1,1,raw=2.626 < min_raw=3.100 (cut penalty applied? False),2,210
DSC03185.heif,0.362897,0.823861,2.603999,-1,1,raw=2.604 < min_raw=3.100 (cut penalty applied? False),1,210
DSC03191.heif,0.063679,0.796181,2.085971,-1,1,raw=2.086 < min_raw=3.100 (cut penalty applied? False),3,210
DSC03193.heif,0.166432,0.744931,2.111975,-1,1,raw=2.112 < min_raw=3.100 (cut penalty applied? False),1,211
DSC03194.heif,0.479732,0.693660,2.453749,-1,1,raw=2.454 < min_raw=3.100 (cut penalty applied? False),1,212
DSC03199.heif,0.455514,0.759652,2.582401,-1,1,raw=2.582 < min_raw=3.100 (cut penalty applied? False),2,212
DSC03200.heif,0.460186,0.944956,3.052669,-1,1,raw=3.053 < min_raw=3.100 (cut penalty applied? False),3,212
DSC03202.heif,0.523223,0.980007,3.234852,1,0,,1,212
DSC03203.heif,0.532477,0.767729,2.718038,-1,1,raw=2.718 < min_raw=3.100 (cut penalty applied? False),1,212
DSC03204.heif,0.503913,0.863031,2.913447,-1,1,raw=2.913 < min_raw=3.100 (cut penalty applied? False),2,212
DSC03209.heif,0.273928,0.853138,1.943736,-1,1,raw=1.944 < min_raw=3.100 (cut penalty applied? True),2,212
DSC03212.heif,0.653540,0.859370,3.128735,1,0,,1,212
DSC03230.heif,0.574769,0.800764,2.864064,-1,1,raw=2.864 < min_raw=3.100 (cut penalty applied? False),2,213
DSC03231.heif,0.304889,0.547102,1.225090,-1,1,raw=1.225 < min_raw=3.100 (cut penalty applied? True),2,214
DSC03236.heif,0.166854,0.525510,0.964056,-1,1,raw=0.964 < min_raw=3.100 (cut penalty applied? True),1,214
DSC03237.heif,0.123158,0.545882,0.949442,-1,1,raw=0.949 < min_raw=3.100 (cut penalty applied? True),3,214
DSC03238.heif,0.925740,0.830589,3.465082,2,0,,1,215
DSC03239.heif,0.042295,0.870874,1.640626,-1,1,sharpness=0.042 < threshold=0.050,1,215
DSC03242.heif,1.000000,0.810297,3.525742,2,0,,1,216
DSC03243.heif,1.000000,0.695609,3.239023,1,0,,1,216
DSC03244.heif,1.000000,0.664467,3.161166,1,0,,2,216
DSC03250.heif,1.000000,0.516376,2.190939,-1,1,raw=2.191 < min_raw=3.100 (cut penalty applied? True),5,216
DSC03255.heif,1.000000,0.573253,2.333132,-1,1,raw=2.333 < min_raw=3.100 (cut penalty applied? True),4,216
DSC03257.heif,0.128708,0.484716,0.804854,-1,1,raw=0.805 < min_raw=3.100 (cut penalty applied? True),4,216
DSC03265.heif,0.038697,0.441245,0.561157,-1,1,sharpness=0.039 < threshold=0.050,1,217
DSC03266.heif,0.286180,0.495605,1.068283,-1,1,raw=1.068 < min_raw=3.100 (cut penalty applied? True),1,218
DSC03268.heif,0.546881,0.584436,1.681410,-1,1,raw=1.681 < min_raw=3.100 (cut penalty applied? True),1,219
DSC03269.heif,0.014579,0.396579,0.413315,-1,1,sharpness=0.015 < threshold=0.050,2,220
DSC03270.heif,0.042419,0.461036,0.616219,-1,1,sharpness=0.042 < threshold=0.050,1,221
DSC03271.heif,1.000000,0.000000,1.500000,-1,1,no_detection,0,222
DSC03273.heif,0.121143,0.506282,0.847418,-1,1,raw=0.847 < min_raw=3.100 (cut penalty applied? True),1,223
DSC03274.heif,0.033684,0.638996,1.048017,-1,1,sharpness=0.034 < threshold=0.050,1,224
DSC03275.heif,0.111252,0.537535,0.910715,-1,1,raw=0.911 < min_raw=3.100 (cut penalty applied? True),3,225
DSC03276.heif,1.000000,0.000000,1.500000,-1,1,no_detection,0,226
DSC03277.heif,0.050176,0.390518,0.451559,-1,1,raw=0.452 < min_raw=3.100 (cut penalty applied? True),2,227
DSC03282.heif,1.000000,0.000000,1.500000,-1,1,no_detection,0,228
